Name,FM,Census Tracts,Population,Land area (km2),Density (people/km2),% Change in Population since 2001,Average Income,Transit Commuting %,% Renters,Second most common language (after English) by name,Second most common language (after English) by percentage,Map
Hoggs Hollow,NY,266,3123,2.76,1132,2,222560.00,4.3,2.9,Unspecified Chinese (2.4%),02.4% Unspecified Chinese,Hogg's Hollow map.PNG
Humber Bay Shores,E,"0200.00, 0201.00",10775,1.42,7588,-5.7,39186.00,15.7,31.6,Russian (5.2%),05.2% Russian,
Humber Heights,E,"0241.00, 0242.00",4674,1.69,2766,8.3,39738.00,10.1,9.7,Spanish (4.1%),04.1% Spanish,
Humber Summit,NY,"0315.01, 0315.02, 0315.03",12766,7.89,1618,2.1,26117.00,7.3,7.6,Italian (15.1%),15.1% Italian,Humber Summit map.PNG
Humber Valley Village,E,"0230.01, 0230.02. 0231.00",14453,5.45,2652,-0.1,80618.00,12,17.8,Ukrainian (3.9%),03.9% Ukrainian,Humber Valley Village map.png
Humberlea,NY,293,4327,2,2164,-2,30907.00,8.7,7.9,Italian (11.1%),11.1% Italian,
Humbermede,NY,"0313.00, 0314.01, 0314.02",14778,4.35,3397,1.1,24297.00,11.8,14.6,Punjabi (9.7%),09.7% Punjabi,Humbermede map.PNG
Humberwood,E,247.01,7319,17.4,421,8,29576.00,7.9,7,Punjabi (26.7%),26.7% Punjabi,
Humewood–Cedarvale,Y,"0164.00, 0165.00, 0166.00, 0167.01, 0167.02, 0168.00",27515,3.19,8624,-7.8,40404.00,24.2,26,Spanish (3.6%),03.6% Spanish,
Ionview,S,"0346.02, 0351.01, 0351.02",13025,1.94,6714,-4,25078.00,21.1,22.5,Filipino (6.5%),06.5% Filipino,Ionview map.PNG
Islington – Six Points,E,"0223.00, 0224.00, 0225.01, 0225.02",16508,4.02,4106,3.7,43570.00,17.1,22.2,Korean (4.9%),04.9% Korean,Islington map.png
Junction Triangle,OCoT,98,6666,0.72,9258,-6,28067.00,20,18.8,Portuguese (13.0%),13.0% Portuguese,Junction Triangle map.png
Kensington Market,OCoT,38,3740,0.36,"10,389",3,23335.00,15,25.1,Cantonese (14.3%),14.3% Cantonese,Kensington Market map.PNG
Kingsview Village,E,"0239.00, 0243.01, 0243.02",16254,4.05,4013,-6.2,32004.00,11.8,14.6,Somali (7.0%),07.0% Somali,Kingsview Village map.png
Lambton,Y,"0151.00, 0154.00",9654,2.74,3523,-3.2,30920.00,14.2,15.9,Portuguese (3.9%),03.9% Portuguese,Lambton map.png
L'Amoreaux,S,"0375.01, 0375.04, 0375.05, 0376.01, 0376.02, 0376.08, 0376.11,0376.12",45862,7.15,6414,0.9,26375.00,13.4,11.4,Unspecified Chinese (13.9%),13.9% Unspecified Chinese,L'Amoreaux map.PNG
Lansing,NY,299,10052,3.06,3285,35,46631.00,18.7,17,Persian (4.7%),04.7% Persian,Lansing map.PNG
Lawrence Heights,NY,286,3769,3.2,1178,15,29867.00,15,13.9,Italian (15.0%),15.0% Italian,Lawrence Heights map.PNG
Lawrence Manor,NY,"0287.01, 0287.02",13750,2.14,6425,7.4,36361.00,15.9,23.8,Filipino (7.2%),07.2% Filipino,Lawrence Manor map.PNG
Lawrence Park,OCoT,"0138.00, 0265.00",6653,3.64,1828,-5.1,214110.00,8.3,4.6,French (0.8%),00.8% French,Lawrence Park map.PNG
Leaside,EY,"0195.00, 0196.00",13876,2.81,4938,3,82670.00,9.7,10.5,Bulgarian (0.4%),00.4% Bulgarian,
Ledbury Park,NY,"0276.01, 0276.02",12360,2.5,4944,3.5,83853.00,9.5,12.2,Filipino (1.4%),01.4% Filipino,Ledbury Park map.png
Leslieville,OCoT,"0026.00, 0027.00, 0028.00, 0073.00, 0074.00",23567,2.69,8761,-7.3,30886.00,19.9,15.4,Cantonese (9.4%),09.4% Cantonese,Leslieville map.png
Little Italy,OCoT,"0041.00, 0042.00",7917,0.81,9774,-6.1,31231.00,15.5,17,Portuguese (17.4%),17.4% Portuguese,Little Italy map.PNG
Little Portugal,OCoT,44,5013,0.49,"10,231",-10,29224.00,16.6,21.6,Portuguese (23.8%),23.8% Portuguese,Little Portugal Toronto Map.png
Long Branch,E,"0206.01, 0206.02",9625,2.22,4336,-7.4,37288.00,14.2,23,Polish (4.5%),04.5% Polish,
Lytton Park,OCoT,139,6494,1.28,5073,5,127356.00,15.1,12.9,Serbian (0.9%),00.9% Serbian,Lytton Park map.PNG
Malvern,S,"0378.03, 0378.04, 0378.05, 0378.06, 0378.11, 0378.12, 0378.16, 0378.17",44324,8.86,5003,1.5,25677.00,13.6,8.2,Tamil (12.2%),12.2% Tamil,
Maple Leaf,NY,"0283.01, 0283.02, 0284.00, 285.00",20313,4.59,4425,1.4,27611.00,11.8,18.8,Italian (13.0%),13.0% Italian,Maple Leaf map.PNG
Markland Wood,E,"0220.00, 0221.01",10240,2.92,3507,1,51695.00,9.2,9.7,Polish (3.4%),03.4% Polish,Markland Wood map.png
Maryvale,S,"0372.00, 0373.00",8800,2.28,3860,-3.2,30944.00,12.3,11.4,Filipino (4.1%),04.1% Filipino,Maryvale map.PNG
Milliken,S,"0377.06, 0377.07, 0378.18, 0378.19, 0378.20, 0378.21, 0378.22",26272,7.19,3654,-2,25243.00,12.3,3.9,Cantonese (26.6%),26.6% Cantonese,Milliken map.PNG
Mimico,E,"0202.00, 0203.00, 0209.00, 0210.00",14198,5.4,2629,15.4,47011.00,11.6,15.5,Polish (3.6%),03.6% Polish,
Moore Park,OCoT,125,4474,1.13,3959,-2,154825.00,11,7.5,French (1.1%),01.1% French,Moore Park map.PNG
Morningside,S,"0363.02, 0363.04, 0363.05",11472,2.79,4112,0.3,27139.00,14.9,13.2,Tamil (10.8%),10.8% Tamil,Morningside map.PNG
Mount Dennis,Y,"0156.01, 0156.02, 0157.00, 0173.00, 0174.00",21284,3.29,6469,-3.1,23910.00,18.2,19.9,Spanish (7.3%),07.3% Spanish,Mount Dennis map.png
New Toronto,E,"0204.00, 0207.00, 0208.00",10455,2.71,3858,-5.8,33415.00,13,25.6,Polish (4.6%),04.6% Polish,
Newtonbrook,NY,"0318.00, 0319.00, 0320.01, 0320.02, 0321.01, 0321.02, 0322.00",36046,8.77,4110,0.3,33428.00,16.6,14.3,Russian (8.8%),08.8% Russian,Newtonbrook map.PNG
Niagara,OCoT,10.02,6524,0.55,"11,862",-4,44611.00,21.2,21.4,Portuguese (4.0%),04.0% Portuguese,Niagara map.PNG
North York City Centre,NY,307.01,10427,0.28,"37,239",33,34330.00,19,19.5,Unspecified Chinese (10.1%),10.1% Unspecified Chinese,North York Centre map.PNG
Oakridge,S,"0341.02, 0341.03, 0341.04",13368,1.86,7187,-2.3,21155.00,20.8,27.1,Bengali (12.6%),12.6% Bengali,Oakridge map.PNG
O'Connor–Parkview,EY,"0189.00, 0190.02, 0191.00, 0192.00, 0193.00",17740,4.94,3591,-6.1,33517.00,15.8,19.4,Urdu (3.2%),03.2% Urdu,O'Connor Parkview map.PNG
Old East York,EY,"0180.00, 0181.01, 0181.02, 0182.00, 0183.00, 0184.01, 0184.02, 0185.01, 0185.02, 0187.00, 0188.00",52220,7.94,6577,-4.6,33172.00,22,19.1,Greek (4.3%),04.3% Greek,Old East York map.PNG
Old Mill/Baby Point,Y,150,4010,1.07,3748,1,110372.00,16.1,10.7,Ukrainian (4.1%),04.1% Ukrainian,Old Mill map.png
Parkdale,OCoT,"0004.00, 0005.00, 0007.01, 0007.02, 0047.01, 0047.02",28367,2.03,"13,974",-8,26314.00,22.2,39,Polish (2.9%),02.9% Polish,Parkdale Toronto map.png
Parkway Forest,NY,"0301.03, 0301.04",8498,1.71,4970,-2.8,24333.00,21.7,24.2,Unspecified Chinese (8.5%),08.5% Unspecified Chinese,
Parkwoods,NY,"0270.01, 0270.02, 0271.01, 0271.02, 0272.01, 0272.02",26533,4.96,5349,-3.7,34811.00,14,22.5,Unspecified Chinese (3.4%),03.4% Unspecified Chinese,Parkwoods map.PNG
Pelmo Park,NY,282,4402,2.2,2001,14,32002.00,9.4,3.6,Italian (6.7%),06.7% Italian,
Playter Estates,OCoT,85,3968,0.5,7936,-2,44557.00,26.8,35,Unspecified Chinese (1.8%),01.8% Unspecified Chinese,Playter Estates map.PNG
Pleasant View,NY,"0302.01, 0302.02, 0302.03",16615,3.04,5465,-2.1,29250.00,13.2,8.2,Unspecified Chinese (12.7%),12.7% Unspecified Chinese,Pleasant View map.PNG
Port Lands,OCoT,1,571,6.1,94,-9,36243.00,14.9,10.5,Mandarin (3.5%),03.5% Mandarin,Port Lands map.PNG
Port Union,S,"0361.01, 0361.02",12450,5.39,2310,-1.7,48117.00,11.1,2,Filipino (1.6%),01.6% Filipino,Port Union map.PNG
Princess Gardens,E,"0232.00, 0233.00",9288,4.13,2249,1,80607.00,7.2,5.8,Korean (2.4%),02.4% Korean,Princess Gardens map.png
Regal Heights,OCoT,113,2719,0.38,7155,-8,36652.00,24.5,19.7,Spanish (5.5%),05.5% Spanish,
Regent Park/Trefann Court,OCoT,"0030.00, 0031.00",10387,0.64,"16,230",-7.1,19521.00,16,31.2,Bengali (10.5%),10.5% Bengali,Regent Park map.PNG
Richview,E,"0237.01, 0237.02, 0237.03, 0238.01, 0238.02, 0240.01",26053,6.51,4002,-4,34579.00,10.6,16.3,Italian (4.2%),04.2% Italian,Richview map.png
Riverdale,OCoT,"0018.00, 0019.00, 0029.00, 0069.00, 0070.00, 0071.00, 0072.01, 0072.02",31007,3.99,7771,-5.5,40139.00,20,17.8,Cantonese (6.7%),06.7% Cantonese,Riverdale map.PNG
Rockcliffe–Smythe,Y,153,4681,0.97,4826,-5,28723.00,16.3,9,Spanish (8.2%),08.2% Spanish,
