Name,FM,Census Tracts,Population,Land area (km2),Density (people/km2),% Change in Population since 2001,Average Income,Transit Commuting %,% Renters,Second most common language (after English) by name,Second most common language (after English) by percentage,Map
Caribou Park,NY,277,4097,1.02,4017,-2,103703.00,8.4,7.6,Tagalog (2.9%),02.9% Tagalog,
Carleton Village,OCoT,108,6544,0.74,8843,-4,23301.00,19,19.9,Portuguese (17.0%),17.0% Portuguese,Carleton Village map.png
Casa Loma,OCoT,118,3597,0.67,5369,23,82203.00,18.1,32.9,Korean (1.8%),01.8% Korean,Casa Loma map.PNG
Centennial,E,"0236.01, 0236.02",12565,4.94,2544,0.5,34867.00,11.5,8.8,Polish (2.7%),02.7% Polish,
Chaplin Estates,OCoT,129,4906,0.93,5275,1,81288.00,22.7,24.5,French (1.2%),01.2% French,Chaplin Estates map.PNG
Christie Pits,OCoT,94,5124,0.64,8006,-5,30556.00,18.8,15.3,Portuguese (11.9%),11.9% Portuguese,
Church and Wellesley,OCoT,"0063.01, 0063.02",13397,0.55,"24,358",8.8,37653.00,25.1,57,Spanish (1.8%),01.8% Spanish,Church and Wellesley map.PNG
Clairville,E,"0248.03, 0249.03",8506,6.71,1268,-3.3,26610.00,13.2,7.2,Punjabi (12.0%),12.0% Punjabi,"Claireville, Toronto.png"
Clairlea,S,"0340.00, 0348.00",11104,3.58,3102,1.8,33392.00,18.1,12.7,Filipino (4.3%),04.3% Filipino,Clairlea map.PNG
Cliffcrest,S,"0333.00, 0334.00, 0335.00",14531,7.01,2073,-2.9,38182.00,12.5,12.2,Tamil (1.5%),01.5% Tamil,Cliffcrest map.PNG
Cliffside,S,"0336.00, 0337.00",9386,2.45,3831,-6.3,32701.00,14.8,11.4,Cantonese (2.3%),02.3% Cantonese,Cliffside map.PNG
Corktown,OCoT,16,4484,0.67,6693,77,54681.00,15.5,17.6,Spanish (2.1%),02.1% Spanish,Corktown map.PNG
Crescent Town,EY,190.01,8157,0.4,"20,393",-10,23021.00,24.5,20.3,Bengali (18.1%),18.1% Bengali,Crescent Town map.PNG
Cricket Club,NY,275,5504,1.96,2808,3,104362.00,8.7,15.4,Filipino (1.4%),01.4% Filipino,
Davenport,OCoT,"0109.00, 0115.00",8781,0.99,8870,-6.9,28335.00,19.8,18.2,Portuguese (17.1%),17.1% Portuguese,Davenport map.PNG
